id,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
21302,Home in Fairhaven  4.90  4  5  3.5,Surf Coast,-38.46329,144.09163,Entire home/apt,400.0,3,51,0.46,3,151,1
27561,Home in Jan Juc  4  6  2.5,Surf Coast,-38.34221,144.30398,Entire home/apt,500.0,5,2,0.04,2,82,0
70449,Home in Birregurra  4.83  2  3  2,Colac Otway,-38.32982,143.82842,Entire home/apt,277.0,1,53,0.49,1,301,5
84516,Home in Port Fairy  4.85  4  4  2.5,Moyne,-38.39149,142.22084,Entire home/apt,517.0,2,141,1.19,1,295,16
195168,Home in Lorne  4.82  3  5  2,Surf Coast,-38.54025,143.97139,Entire home/apt,850.0,2,28,0.19,1,340,2
291691,Place to stay in Barwon Heads  4.51  1 bedroom  2  1 bath,Greater Geelong,-38.27942,144.49073,Entire home/apt,79.0,2,79,0.55,2,321,17
372470,Home in Wensleydale  4.95  5  11  2.5,Surf Coast,-38.33816,144.02221,Entire home/apt,993.0,2,200,2.0,1,0,34
403682,Home in Aireys Inlet  4.75  3  4  1.5,Surf Coast,-38.465721,144.099136,Entire home/apt,550.0,2,186,1.28,1,144,2
479888,Home in Lorne  4.68  3  4  1 bath,Surf Coast,-38.54855,143.95517,Entire home/apt,675.0,2,75,0.78,5,39,5
488344,Guest suite in Fairhaven  4.95  1 bedroom  1 bed  1 bath,Surf Coast,-38.46413,144.09497,Entire home/apt,130.0,2,284,3.08,2,280,50
488599,Home in Geelong  4.83  3  4  1.5,Greater Geelong,-38.15406,144.35685,Entire home/apt,429.0,1,278,2.22,5,297,1
606687,Rental unit in Point Lonsdale  4.95  1 bedroom  1 bed  1 bath,Queenscliffe,-38.2825,144.61339,Entire home/apt,2501.0,2,360,2.62,1,215,28
675196,Rental unit in North Geelong  4.89  1 bedroom  1 bed  1 bath,Greater Geelong,-38.12033,144.35596,Entire home/apt,135.0,1,247,2.04,1,15,30
697087,Rental unit in Lorne  4.81  3  6  2.5,Surf Coast,-38.527565,143.982712,Entire home/apt,900.0,3,149,1.1,4,57,18
785467,Rental unit in Marengo  4.56  2  2  1.5,Colac Otway,-38.77916,143.66466,Entire home/apt,340.0,1,236,1.77,1,327,32
841336,Home in Lara  4.68  1 bedroom  2  1.5,Greater Geelong,-38.01528,144.40169,Private room,264.0,1,22,0.18,1,365,0
847397,Townhouse in Lorne  4.16  2  2  1 bath,Surf Coast,-38.5301,143.98119,Entire home/apt,395.0,2,63,0.47,3,258,0
850562,Rental unit in Geelong  4.72  2  3  1 bath,Greater Geelong,-38.1471,144.37349,Entire home/apt,220.0,1,163,1.34,5,310,3
853375,Home in Point Lonsdale  4.88  2  2  1 bath,Queenscliffe,-38.27055,144.61555,Entire home/apt,190.0,3,66,0.6,1,309,7
855501,Home in Deans Marsh  4.66  3  3  1 bath,Surf Coast,-38.39517,143.88749,Entire home/apt,224.0,2,122,0.92,1,252,15
858408,Guesthouse in Lorne  4.39  2  2  1 bath,Surf Coast,-38.53829,143.97,Entire home/apt,425.0,3,80,0.61,3,253,2
859859,Home in Lorne  4.36  3  5  2,Surf Coast,-38.53829,143.97,Entire home/apt,450.0,2,118,0.89,3,242,9
890837,Home in Jan Juc  4.78  1 bedroom  1 bed  1 private bath,Surf Coast,-38.35578,144.28283,Private room,238.0,1,226,1.7,1,339,27
902612,Rental unit in Forrest  4.96  1 bedroom  1 bed  1 bath,Colac Otway,-38.51349,143.73032,Entire home/apt,240.0,2,24,0.18,2,70,1
911101,Cottage in Strathdownie  4.76  2  4  1 bath,Glenelg,-37.70711,141.21131,Entire home/apt,140.0,1,196,1.51,1,315,18
921687,Place to stay in Moutajup  4.80  1 bedroom  1 bed  1 bath,Southern Grampians,-37.66715,142.2236,Entire home/apt,200.0,1,159,1.24,3,145,7
943123,Home in Warrnambool  4.93  2  3  1 shared bath,Warrnambool,-38.38613,142.5142,Private room,129.0,1,276,2.09,1,262,36
1037178,Farm stay in Carlisle River  4.97  1 bedroom  1 bed  1 bath,Colac Otway,-38.57084,143.36134,Entire home/apt,200.0,2,113,0.87,3,349,4
1113236,Home in Ocean Grove  4.46  4  8  1 bath,Greater Geelong,-38.270938873291016,144.51719665527344,Entire home/apt,234.0,2,26,0.22,1,340,6
1124773,Cottage in Fairhaven  4.77  2  3  1 bath,Surf Coast,-38.46346,144.09438,Entire home/apt,264.0,2,77,0.63,1,154,11
1168873,Home in Aireys Inlet  4.47  5  9  3,Surf Coast,-38.45819,144.11411,Entire home/apt,414.0,2,90,0.71,1,141,9
1178771,Cabin in Bellbrae  4.89  3  5  2,Surf Coast,-38.332699,144.194412,Entire home/apt,400.0,3,18,0.15,1,55,1
1180734,Rental unit in Lorne  4.84  3  4  2,Surf Coast,-38.54783,143.9852,Entire home/apt,546.0,3,49,0.45,1,276,6
1247085,Home in Ocean Grove  4.71  3  7  1 bath,Greater Geelong,-38.26207,144.52366,Entire home/apt,260.0,3,185,1.45,1,128,17
1261097,Home in Skenes Creek  5.0  4  5  2,Colac Otway,-38.723026,143.711792,Entire home/apt,650.0,5,6,0.05,2,54,0
1285297,Home in Skenes Creek  4.84  2  3  1 bath,Colac Otway,-38.72303,143.71179,Entire home/apt,299.0,1,234,1.86,2,133,26
1289208,Home in Allansford  4.86  4  7  2,Warrnambool,-38.3943154,142.5932686,Entire home/apt,719.0,2,29,0.24,5,316,5
1332982,Home in Anglesea  4.69  4  6  1 bath,Surf Coast,-38.40787,144.1956,Entire home/apt,331.0,2,340,2.73,1,47,36
1341747,Home in Aireys Inlet  4.94  3  4  2.5,Surf Coast,-38.45555,144.11513,Entire home/apt,343.0,2,222,1.77,1,300,4
1384375,Boutique hotel in Lorne  4.95  1 bedroom  1 bed  1 private bath,Surf Coast,-38.54131,143.97026,Private room,564.0,1,55,0.52,3,72,2
1434583,Home in Lorne  4.46  5  7  2.5,Surf Coast,-38.52946,143.9739,Entire home/apt,800.0,2,125,1.06,1,284,20
1500112,Home in Barwon Heads  4.63  4  7  2,Greater Geelong,-38.27656,144.49008,Entire home/apt,756.0,2,8,0.08,2,361,0
1504804,Home in Anglesea  5.0  4  7  2,Surf Coast,-38.40489,144.18174,Entire home/apt,600.0,7,20,0.16,1,10,0
1532875,Guesthouse in South Geelong  4.93  Studio  2  1 bath,Greater Geelong,-38.16312,144.36001,Entire home/apt,132.0,1,764,9.0,1,334,105
1544720,Home in Warrnambool  5.0  3  3  1 bath,Warrnambool,-38.39272529278881,142.50583168119192,Entire home/apt,700.0,3,6,0.62,1,342,6
1625193,Bed and breakfast in Barrabool  4.76  3  4  1 shared bath,Surf Coast,-38.19125,144.20375,Private room,94.0,1,175,1.79,1,357,55
1641677,Home in Aireys Inlet  4.49  2  4  1 bath,Surf Coast,-38.45318,144.11095,Entire home/apt,220.0,2,70,0.58,1,303,11
1641891,Home in Port Fairy  4.81  4  4  1.5,Moyne,-38.38333,142.23656,Entire home/apt,634.0,7,16,0.15,1,203,2
1673242,Home in Wye River  4.78  2  3  1 bath,Colac Otway,-38.63268,143.88839,Entire home/apt,311.0,2,18,0.19,1,341,0
1693627,Home in Port Campbell  New  4  7  2,Corangamite,-38.590476,142.9875729,Entire home/apt,943.0,1,1,1.0,1,355,1
1773818,Farm stay in Carlisle River  4.93  1 bedroom  1 bed  1 bath,Colac Otway,-38.5725,143.36169,Entire home/apt,200.0,2,87,0.7,3,349,3
1848144,Rental unit in Apollo Bay  4.80  2  3  1 bath,Colac Otway,-38.76179,143.66715,Entire home/apt,317.0,2,859,7.01,1,82,33
1862897,Home in Point Lonsdale  5.0  4  4  3,Queenscliffe,-38.27217,144.6203,Entire home/apt,621.0,2,14,0.19,4,342,3
1873599,Home in Point Lonsdale  4.70  2  3  2,Queenscliffe,-38.2724,144.62351,Entire home/apt,448.0,2,23,0.22,4,333,2
1881674,Rental unit in Point Lonsdale  4.94  1 bedroom  2  1 bath,Queenscliffe,-38.27132,144.62256,Entire home/apt,279.0,1,49,0.47,4,318,9
1899302,Home in Barwon Heads  4.91  3  4  2.5,Greater Geelong,-38.28331,144.49102,Entire home/apt,546.0,2,92,0.76,1,312,12
1950643,Home in Highton  4.78  1 bedroom  1 bed  1 shared bath,Greater Geelong,-38.17029,144.32144,Private room,150.0,2,19,0.16,1,0,0
1966742,Bed and breakfast in Strathdownie  4.90  3  4  1.5,Glenelg,-37.70146,141.24917,Entire home/apt,180.0,2,59,0.56,1,344,11
2012468,Home in Wye River  4.70  3  6  1 bath,Colac Otway,-38.63374,143.88637,Entire home/apt,404.0,2,257,2.11,1,330,18
2039477,Home in Barwon Heads  5.0  3  4  1.5,Greater Geelong,-38.27772,144.48941,Entire home/apt,700.0,2,13,0.15,1,328,2
2051277,Rental unit in Apollo Bay  4.63  2  2  2,Colac Otway,-38.75543,143.66827,Entire home/apt,550.0,2,203,1.68,1,322,37
2072393,Bungalow in Grey River  4.67  2  3  1 bath,Colac Otway,-38.68293,143.83572,Entire home/apt,209.0,3,345,2.85,1,0,33
2084690,Home in Ocean Grove  4.58  4  6  2.5,Greater Geelong,-38.25785,144.51573,Entire home/apt,464.0,5,59,0.49,1,352,2
2088619,Bed and breakfast in Jan Juc  4.82  1 bedroom  1 bed  1 private bath,Surf Coast,-38.34886,144.30055,Private room,199.0,1,244,2.01,1,338,28
2105771,Home in Apollo Bay  4.91  3  3  1.5,Colac Otway,-38.73448,143.6096,Entire home/apt,425.0,2,232,2.06,1,0,22
2120809,Guesthouse in Sugarloaf  4.34  1 bedroom  2  2 shared,Colac Otway,-38.69521,143.80223,Private room,295.0,1,116,0.95,26,57,9
2121190,Farm stay in Sugarloaf  4.39  1 bedroom  3  2 shared,Colac Otway,-38.69561,143.80229,Private room,388.0,1,270,2.22,26,56,10
2121859,Farm stay in Sugarloaf  4.47  1 bedroom  1 bed  2 shared,Colac Otway,-38.69515,143.80206,Private room,309.0,1,157,1.3,26,58,4
2121891,Guesthouse in Sugarloaf  4.45  1 bedroom  1 bed  2 shared,Colac Otway,-38.6951,143.802,Private room,309.0,1,120,0.99,26,24,3
2121917,Boutique hotel in Sugarloaf  4.40  1 bedroom  1 bed  2 shared,Colac Otway,-38.69513,143.80211,Private room,309.0,1,356,2.93,26,54,11
2126134,Guesthouse in Sugarloaf  4.38  1 bedroom  1 bed  2 shared,Colac Otway,-38.69511,143.80206,Private room,295.0,1,117,0.96,26,58,3
2126154,Guesthouse in Sugarloaf  4.51  1 bedroom  1 bed  2 shared,Colac Otway,-38.69494,143.80212,Private room,295.0,1,212,1.74,26,48,33
2136259,Home in Port Fairy  4.88  3  5  2,Moyne,-38.38002,142.23015,Entire home/apt,380.0,2,111,1.19,1,310,30
2142372,Guesthouse in Sugarloaf  4.27  1 bedroom  3  2 shared,Colac Otway,-38.6951,143.80196,Private room,388.0,1,174,1.43,26,62,4
2142455,Home in Warrnambool  4.83  2  3  1 bath,Warrnambool,-38.38577,142.45556,Entire home/apt,160.0,2,168,1.39,1,250,2
2156217,Home in Geelong  4.97  2  3  1.5,Greater Geelong,-38.15818,144.35889,Entire home/apt,280.0,2,75,0.64,1,320,7
2156921,Home in Illowa  4.85  4  5  3,Moyne,-38.33295,142.3737,Entire home/apt,625.0,2,65,0.54,1,0,2
2160502,Home in Ocean Grove  4.73  1 bedroom  1 bed  1 private bath,Greater Geelong,-38.26353,144.5168,Private room,150.0,2,139,1.15,2,172,8
2160606,Home in Killarney  4.93  3  3  3,Moyne,-38.34369,142.32856,Entire home/apt,220.0,2,81,0.72,3,25,2
2161648,Home in Port Fairy  4.67  1 bedroom  1 bed  1 bath,Moyne,-38.37866,142.23117,Private room,93.0,2,426,3.52,1,156,16
2198761,Home in Killarney  4.71  1 bedroom  1 bed  1 bath,Moyne,-38.34359,142.32699,Private room,200.0,2,7,0.06,3,29,0
2209882,Home in Portarlington  4.94  4  4  3,Greater Geelong,-38.12123,144.68975,Entire home/apt,450.0,2,17,0.14,1,1,0
2210140,Bed and breakfast in Hamilton  4.91  Studio  1 bed  1 private bath,Southern Grampians,-37.74969,142.01989,Private room,164.0,2,100,0.85,1,0,9
2224983,Boutique hotel in Sugarloaf  4.78  20  24  5,Colac Otway,-38.69511,143.80196,Private room,2499.0,2,141,1.17,26,305,1
2228443,Home in Anglesea  4.26  3  4  1 bath,Surf Coast,-38.41108,144.17754,Entire home/apt,300.0,3,133,1.11,1,334,1
2279363,Place to stay in Lara  4.92  1 bedroom  1 bed  1 bath,Greater Geelong,-38.02493,144.38209,Entire home/apt,157.0,1,243,2.16,2,170,30
2306213,Home in Apollo Bay  4.90  2  3  1 bath,Colac Otway,-38.75958,143.66696,Entire home/apt,624.0,1,191,1.59,1,66,27
2332908,Rental unit in Apollo Bay  4.89  1 bedroom  1 bed  1 bath,Colac Otway,-38.75233,143.6617,Entire home/apt,300.0,2,757,6.3,1,76,52
2333182,Treehouse in Forrest  4.87  3  5  1.5,Colac Otway,-38.51932,143.71503,Entire home/apt,414.0,3,138,1.18,3,326,20
2374635,Home in Port Fairy  4.96  3  4  1 bath,Moyne,-38.37894,142.22364,Entire home/apt,443.0,3,161,1.71,1,99,15
2406449,Rental unit in Apollo Bay  4.76  2  3  1 bath,Colac Otway,-38.72908,143.69869,Entire home/apt,610.0,1,191,1.59,8,335,20
2406979,Rental unit in Apollo Bay  4.82  Studio  1 bed  1 bath,Colac Otway,-38.72873,143.69428,Entire home/apt,420.0,1,224,1.89,8,340,19
2412626,Cottage in Torquay  4.79  2  3  1 bath,Surf Coast,-38.32072,144.3335,Entire home/apt,499.0,2,117,1.0,2,152,13
2415024,Home in Torquay /Jan Juc  4.88  1 bedroom  2  1 bath,Surf Coast,-38.35112,144.2899,Entire home/apt,518.0,1,247,2.07,2,348,25
2431526,Cottage in Forrest  4.44  2  2  1 bath,Colac Otway,-38.5209,143.71773,Entire home/apt,536.0,2,52,0.46,2,85,5
2447960,Bed and breakfast in Dunkeld  4.78  3  3  3,Southern Grampians,-37.64678,142.34348,Private room,160.0,1,64,0.63,1,133,14
2455054,Rental unit in Apollo Bay  4.81  2  3  1 bath,Colac Otway,-38.72854,143.69873,Entire home/apt,610.0,1,141,1.19,8,336,7
2479408,Home in Portland  4.89  4  5  1.5,Glenelg,-38.33059,141.60266,Entire home/apt,390.0,2,63,0.56,1,67,12
2489742,Home in Fairhaven  4.83  2  3  2,Surf Coast,-38.46128,144.09277,Entire home/apt,500.0,2,182,1.56,1,211,33
2489908,Townhouse in Anglesea  4.91  2  3  1 bath,Surf Coast,-38.40863786530481,144.18245642212628,Entire home/apt,450.0,2,35,0.83,1,341,9
2489952,Bed and breakfast in Ocean Grove  4.93  1 bedroom  1 bed  1 private bath,Greater Geelong,-38.26583,144.53609,Private room,140.0,1,296,2.5,1,0,52
2521462,Farm stay in Petticoat Creek  4.89  2  1 bath,Colac Otway,-38.71569,143.73016,Entire home/apt,516.0,1,75,0.85,7,169,8
2547671,Home in Point Lonsdale  4.81  3  5  2.5,Queenscliffe,-38.27679,144.61561,Entire home/apt,241.0,3,131,1.11,1,105,8
2620100,Home in Ocean Grove  4.82  3  9  2,Greater Geelong,-38.26796722412109,144.54624938964844,Entire home/apt,434.0,2,61,0.51,1,337,11
2645437,Guest suite in Port Campbell  4.81  Studio  1 bed  1 private bath,Corangamite,-38.6079,143.0044,Private room,333.0,1,64,0.59,9,225,7
2645585,Guest suite in Torquay  4.96  2  2  1 bath,Surf Coast,-38.31527,144.32495,Entire home/apt,260.0,1,395,3.34,1,0,45
2646156,Guesthouse in Port Campbell  4.94  2  4  1 bath,Corangamite,-38.6079,143.0044,Entire home/apt,421.0,1,31,0.29,9,210,1
2678111,Chalet in Port Fairy  4.95  1 bedroom  1 bed  1 bath,Moyne,-38.37847,142.23159,Entire home/apt,170.0,2,127,1.16,1,318,19
2723415,Home in Aireys Inlet  4.80  3  5  2,Surf Coast,-38.45105,144.11452,Entire home/apt,379.0,2,5,0.06,2,340,1
2747998,Cottage in Port Campbell  4.73  3  4  1 bath,Corangamite,-38.61935,142.99998,Entire home/apt,340.0,1,331,2.94,1,334,24
2788189,Bed and breakfast in Torquay  4.84  1 bedroom  1 bed  1 private bath,Surf Coast,-38.30111,144.33915,Private room,140.0,2,156,1.32,1,340,12
2819087,Home in Torquay  5.0  2  4  1 bath,Surf Coast,-38.33577,144.32396,Entire home/apt,304.0,2,21,0.22,1,290,4
2824938,Guesthouse in Sugarloaf  4.45  1 bedroom  4  2 shared,Colac Otway,-38.69494,143.80187,Private room,481.0,1,149,1.26,26,59,9
2860771,Home in Moggs Creek  4.89  4  8  2,Surf Coast,-38.46678,144.06243,Entire home/apt,527.0,2,256,2.26,1,130,27
2882780,Home in Ocean Grove  4.80  4  4  2,Greater Geelong,-38.26293563842773,144.5177459716797,Entire home/apt,600.0,3,5,0.05,2,262,0
2888648,Cabin in Ocean Grove  4.69  2  3  1 bath,Greater Geelong,-38.269615,144.517853,Entire home/apt,240.0,2,86,0.73,1,315,4
2890561,Rental unit in Separation Creek  4.87  1 bedroom  1 bed  1 bath,Colac Otway,-38.62878,143.89395,Entire home/apt,200.0,2,178,1.53,3,330,19
2909300,Home in Portland  4.75  1 bedroom  1 bed  1 bath,Glenelg,-38.34893,141.49628,Entire home/apt,146.0,2,73,0.66,1,341,2
2950616,Guest suite in Ocean Grove  4.92  1 bedroom  1 bed  1 private bath,Greater Geelong,-38.25654,144.52939,Private room,120.0,2,284,2.59,1,272,26
2980097,Guest suite in Torquay  5.0  1 bedroom  1 bed  1 bath,Surf Coast,-38.29776,144.3397,Entire home/apt,200.0,2,25,0.26,2,269,1
3013455,Home in Birregurra  4.63  3  3  1.5,Colac Otway,-38.33862,143.78134,Entire home/apt,310.0,2,86,0.77,1,333,9
3033662,Guest suite in Torquay  4.92  1 bedroom  1 bed  1 bath,Surf Coast,-38.29558,144.33965,Entire home/apt,250.0,2,152,1.36,2,323,8
3135310,Home in Warrnambool  4.92  3  4  1 bath,Warrnambool,-38.36928,142.47803,Entire home/apt,378.0,2,61,0.63,1,53,14
3148037,Home in Ocean Grove  4.93  3  4  1.5,Greater Geelong,-38.26493,144.53417,Entire home/apt,290.0,3,146,1.3,1,13,2
3210536,Rental unit in Portland  4.70  1 bedroom  1 bed  1 bath,Glenelg,-38.34398,141.60617,Entire home/apt,190.0,1,92,0.83,1,309,11
3265095,Rental unit in Lorne  4.83  1 bedroom  1 bed  1 bath,Surf Coast,-38.52975,143.97779,Entire home/apt,241.0,2,322,2.81,1,307,44
3285485,Home in Jan Juc  4  4  2,Surf Coast,-38.34966,144.29741,Entire home/apt,906.0,7,2,0.02,1,32,0
3292011,Home in Bellbrae  4.53  4  4  1 bath,Surf Coast,-38.33259,144.21051,Entire home/apt,385.0,2,17,0.17,1,332,1
3293889,Home in Aireys Inlet  4.95  2  3  1 bath,Surf Coast,-38.46155,144.10313,Entire home/apt,386.0,2,60,0.53,1,34,11
3426146,Farm stay in Gerangamete  5.0  1 bedroom  1 bed  Half-bath,Colac Otway,-38.466324,143.670319,Entire home/apt,286.0,1,59,0.54,1,307,4
3434581,Home in Separation Creek  4.74  3  6  1 bath,Colac Otway,-38.62912,143.89704,Entire home/apt,414.0,7,31,0.28,3,70,1
3457520,Townhouse in Torquay  4.79  3  5  2,Surf Coast,-38.33498,144.31934,Entire home/apt,800.0,1,48,0.43,2,345,28
3468854,Rental unit in Queenscliff  4.95  1 bedroom  2  1 bath,Queenscliffe,-38.26682,144.65404,Entire home/apt,325.0,2,501,4.36,2,326,51
3515238,Guest suite in Cape Otway  4.75  1 bedroom  1 bed  1 bath,Colac Otway,-38.8326,143.51453,Entire home/apt,189.0,2,24,0.21,2,149,3
3554227,Home in Anglesea  4.86  3  6  2,Surf Coast,-38.40449,144.19722,Entire home/apt,550.0,2,59,0.52,1,343,2
3566168,Guesthouse in Belmont  4.93  1 bedroom  1 bed  1 bath,Greater Geelong,-38.17465,144.34971,Entire home/apt,191.0,1,768,9.16,6,46,71
3629170,Home in Lorne  4.53  3  5  1 bath,Surf Coast,-38.53387,143.96831,Entire home/apt,597.0,2,120,1.31,1,3,14
3649008,Home in Queenscliff  4.97  4  6  2,Queenscliffe,-38.27133,144.65396,Entire home/apt,351.0,2,76,0.8,1,12,4
3656705,Cabin in Forrest  4.78  3  5  1 bath,Colac Otway,-38.51544,143.71646,Entire home/apt,206.0,1,172,1.57,8,287,28
3707303,Serviced apartment in Apollo Bay  4.90  2  3  1 private bath,Colac Otway,-38.75228,143.66934,Hotel room,550.0,1,546,5.08,5,297,159
3741314,Rental unit in Apollo Bay  4.82  2  4  1 bath,Colac Otway,-38.72844,143.69739,Entire home/apt,610.0,1,329,2.89,8,324,38
3763484,Home in Barwon Heads  4.80  3  6  2,Greater Geelong,-38.27706,144.49286,Entire home/apt,579.0,2,46,0.42,1,290,3
3776429,Home in Anglesea  4.95  3  4  2,Surf Coast,-38.41277,144.18449,Entire home/apt,295.0,6,39,0.36,1,16,3
3824522,Guest suite in Hamilton  4.78  1 bedroom  2  1 bath,Southern Grampians,-37.77958,142.06978,Entire home/apt,163.0,1,94,0.88,2,64,5
3824622,Guest suite in Hamilton  4.66  1 bedroom  1 bed  1 bath,Southern Grampians,-37.77987,142.06923,Entire home/apt,153.0,1,58,0.52,2,80,5
3836766,Home in Barwon Heads  4.53  4  7  2,Greater Geelong,-38.26537,144.49047,Entire home/apt,580.0,5,32,0.28,1,357,3
3844168,Home in Birregurra  4.93  2  2  1 bath,Colac Otway,-38.33493,143.78143,Entire home/apt,220.0,2,192,1.7,1,324,28
3847432,Home in Torquay  4.89  10  15  4,Surf Coast,-38.31794,144.33868,Entire home/apt,2750.0,3,9,0.08,7,339,0
3852887,Bed and breakfast in Torquay  5.0  1 bedroom  1 bed  1 shared bath,Surf Coast,-38.32448,144.3244,Private room,180.0,1,3,0.1,1,310,1
3860971,Home in Lorne  4.70  4  10  2,Surf Coast,-38.52703,143.97588,Entire home/apt,689.0,2,67,0.69,1,335,3
3871383,Home in Jan Juc  4.81  1 bedroom  1 bed  1 bath,Surf Coast,-38.35011,144.29005,Entire home/apt,432.0,1,81,0.72,2,346,14
3898985,Home in Lorne  4.73  3  5  2,Surf Coast,-38.54285,143.96931,Entire home/apt,595.0,2,82,0.74,2,336,6
3917036,Home in Anglesea  4.88  3  3  2,Surf Coast,-38.40377,144.18803,Entire home/apt,456.0,2,52,0.52,1,332,3
3925932,Home in Point Lonsdale  3  9  2,Queenscliffe,-38.27372,144.61618,Entire home/apt,455.0,2,2,0.02,1,148,0
3964558,Home in Lorne  4.58  3  6  2,Surf Coast,-38.53238,143.97628,Entire home/apt,500.0,2,19,0.17,3,325,0
3972546,"Home in Norlane, Geelong  4.49  1 bedroom  1 bed  1 shared bath",Greater Geelong,-38.09693,144.35813,Private room,20.0,7,55,0.49,1,0,3
4008282,Loft in Torquay  4.87  1 bedroom  3  1.5,Surf Coast,-38.3151,144.34022,Entire home/apt,348.0,1,385,3.43,1,161,56
4008850,Rental unit in Newtown  4.69  1 bedroom  2  1.5,Greater Geelong,-38.15075,144.34503,Entire home/apt,224.0,4,81,0.75,4,56,7
4099615,Cottage in Apollo Bay  4.82  1 bedroom  1 bed  1 bath,Colac Otway,-38.75143,143.66352,Entire home/apt,329.0,1,172,1.57,2,111,28
4100337,Guesthouse in Bellbrae  4.96  1 bedroom  1 bed  1 bath,Surf Coast,-38.32538,144.25972,Entire home/apt,243.0,2,246,3.47,1,127,0
4112216,Cottage in Cape Otway  4.93  1 bedroom  1 bed  1.5,Colac Otway,-38.8312,143.51373,Entire home/apt,189.0,2,203,1.82,2,149,26
4122102,Rental unit in Aireys Inlet  4.78  1 bedroom  1 bed  1 bath,Surf Coast,-38.46305,144.09879,Entire home/apt,193.0,2,285,2.57,2,319,39
4138172,Home in Anglesea  4.91  5  8  2.5,Surf Coast,-38.40313,144.17597,Entire home/apt,493.0,2,99,0.9,1,309,11
4192531,Home in Port Campbell  4.64  3  4  1 bath,Corangamite,-38.62017,142.99448,Entire home/apt,415.0,1,557,4.96,1,134,30
4219456,Home in Apollo Bay  4.59  3  5  1 bath,Colac Otway,-38.74936,143.66572,Entire home/apt,145.0,2,61,0.55,1,0,0
4246704,Farm stay in Waurn Ponds  4.87  1 bedroom  1 bed  1 bath,Greater Geelong,-38.19079,144.27382,Entire home/apt,250.0,2,139,1.42,1,296,3
4272062,Rental unit in Lorne  4.74  1 bedroom  1 bed  1 bath,Surf Coast,-38.52332,143.98401,Entire home/apt,300.0,1,254,2.32,1,331,48
4273754,Home in Ocean Grove  4.79  5  8  2,Greater Geelong,-38.26692,144.54356,Entire home/apt,700.0,2,149,1.36,1,324,12
4304988,Villa in Torquay  4.86  1 bedroom  1 bed  1 bath,Surf Coast,-38.31081,144.28337,Entire home/apt,207.0,1,148,1.33,3,341,15
4313652,Bed and breakfast in Jan Juc  4.90  1 bedroom  2  1 private bath,Surf Coast,-38.3526,144.29215,Private room,166.0,1,234,2.14,1,346,35
4442298,Rental unit in Apollo Bay  4.86  1 bedroom  1 bed  1 bath,Colac Otway,-38.75426,143.66791,Entire home/apt,514.0,2,812,7.53,36,0,96
4449372,Rental unit in Ocean Grove  4.94  2  2  1 bath,Greater Geelong,-38.26549,144.51165,Entire home/apt,249.0,5,50,0.61,1,0,1
4477536,Rental unit in Lorne  4.64  Studio  2  1 bath,Surf Coast,-38.54367,143.97491,Entire home/apt,229.0,2,11,0.1,5,48,1
4477943,Home in Warrnambool  4.73  2  3  1 bath,Warrnambool,-38.39184,142.4678,Entire home/apt,260.0,1,221,2.01,1,278,33
4497016,Home in Cape Bridgewater  4.60  3  4  1 bath,Glenelg,-38.36941,141.40132,Entire home/apt,250.0,2,45,0.42,1,335,3
4520695,Boutique hotel in Lorne  4.91  Studio  2  1 private bath,Surf Coast,-38.54314,143.97503,Private room,193.0,1,110,1.0,5,44,5
4520736,Rental unit in Lorne  4.83  Studio  2  1 bath,Surf Coast,-38.54366,143.97519,Entire home/apt,207.0,1,103,0.94,5,49,12
4520838,Rental unit in Lorne  4.91  Studio  1 bed  1 bath,Surf Coast,-38.54254,143.97488,Entire home/apt,225.0,1,92,0.86,5,51,8
4541253,Rental unit in Point Lonsdale  4.94  2  3  1 bath,Queenscliffe,-38.2808,144.61421,Entire home/apt,329.0,3,66,0.59,1,122,2
4559165,Home in Peterborough  4.81  3  6  2,Moyne,-38.60594,142.87524,Entire home/apt,204.0,2,596,5.38,1,0,18
4606296,Rental unit in Geelong West  4.92  Studio  1 bed  1 bath,Greater Geelong,-38.1391,144.35231,Entire home/apt,153.0,2,193,1.77,2,345,23
4608714,Home in Ocean Grove  4.75  4  9  3,Greater Geelong,-38.26764,144.51935,Entire home/apt,900.0,2,53,0.52,2,329,6
4639886,Home in Newcomb  5.0  1 bedroom  1 bed  1 private bath,Greater Geelong,-38.16013,144.39074,Private room,80.0,7,15,0.14,1,298,0
4646177,Cottage in Wallington  4.95  2  3  1 bath,Greater Geelong,-38.21574,144.50894,Entire home/apt,300.0,2,318,2.89,1,158,19
4652689,Home in Barwon Heads  4.83  2  5  1.5,Greater Geelong,-38.2796,144.49196,Entire home/apt,310.0,5,12,0.11,2,320,3
4671647,Home in Johanna  4.83  4  6  2,Colac Otway,-38.74943,143.40243,Entire home/apt,421.0,6,205,1.87,1,11,0
4680460,Cottage in Port Campbell  5.0  Studio  1 bed  1 bath,Corangamite,-38.60297,143.00174,Entire home/apt,539.0,2,52,0.49,3,81,4
4696351,Home in Tower Hill  4.90  2  3  1 bath,Moyne,-38.32685,142.36954,Entire home/apt,279.0,2,41,0.37,1,242,4
4719782,Home in Anglesea  4.71  3  5  1.5,Surf Coast,-38.41322,144.17038,Entire home/apt,650.0,2,225,2.07,1,8,6
